Roll_num   Present   Absent   Late      Total
4159-14L     15        3        2        20
4222-14L     15        3        2        20
4241-14L     15        3        2        20
4290-14L     15        3        2        20
4401-14L     15        3        2        20
5867-14L     15        3        2        20
5868-14L     15        3        2        20
4014-15L     15        3        2        20
4019-15L     15        3        2        20
4023-15L     15        3        2        20
4028-15L     15        3        2        20
4048-15L     15        3        2        20
4050-15L     15        3        2        20
4068-15L     15        3        2        20
4083-15L     15        3        2        20
4084-15L     15        3        2        20
4091-15L     15        3        3        21
4102-15L     15        3        2        20
4137-15L     15        3        2        20
6708-21L     15        3        2        20 
6652-22L     10        5        5        20        
6705-22L     10        5        5        20     
6848-22L     15        3        2        20
6789-22L     15        3        2        20
6543-22L     15        2        3        20
6661-22L      0        0        0        0        
